Percentage served,Time in ms
0,2408.040
1,2411.846
2,2415.932
3,2419.533
4,2422.241
5,2425.535
6,2429.739
7,2434.199
8,2438.746
9,2443.365
10,2449.748
11,2455.533
12,2460.024
13,2464.760
14,2469.375
15,2474.118
16,2478.708
17,2483.086
18,2487.582
19,2492.394
20,2497.078
21,2500.042
22,2502.360
23,2504.708
24,2507.075
25,2508.791
26,2511.377
27,2515.541
28,2519.906
29,2524.339
30,2528.562
31,2533.239
32,2537.552
33,2541.892
34,2545.900
35,2548.868
36,2550.515
37,2552.116
38,2553.614
39,2555.110
40,2556.592
41,2557.909
42,2559.204
43,2560.525
44,2561.670
45,2562.790
46,2563.808
47,2564.900
48,2566.051
49,2566.814
50,2568.017
51,2569.478
52,2571.098
53,2572.986
54,2575.380
55,2577.380
56,2581.020
57,2587.416
58,2592.980
59,2596.158
60,2598.839
61,2601.643
62,2604.030
63,2606.660
64,2609.662
65,2612.261
66,2614.488
67,2616.164
68,2618.608
69,2621.650
70,2624.503
71,2627.000
72,2628.231
73,2629.431
74,2631.021
75,2633.466
76,2636.097
77,2637.633
78,2639.021
79,2640.378
80,2641.838
81,2642.988
82,2644.359
83,2647.601
84,2652.361
85,2655.879
86,2657.317
87,2659.321
88,2661.204
89,2662.552
90,2664.099
91,2667.199
92,2668.713
93,2671.720
94,2673.367
95,2675.369
96,2676.562
97,2678.024
98,2680.970
99,2682.877
100,2688.252
