numRequests,go_0,go_1,go_2,go_3,go_4,go_5,go_6,go_7,go_8,go_9,go_10,go_11,go_12,go_13,go_14,go_15,go_16,go_17,go_18,go_19,go_20,go_21,go_22,go_23,go_24,go_25,go_26,go_27,go_28,go_29,go_30,go_31,go_32,go_33,go_34,go_35,go_36,go_37,go_38,go_39,go_40,go_41,go_42,go_43,go_44,go_45,go_46,go_47,go_48,go_49,go_50,go_51,go_52,go_53,go_54,go_55,go_56,go_57,go_58,go_59,go_60,go_61,go_62,go_63,go_64,go_65,go_66,go_67,go_68,go_69,go_70,go_71,go_72,go_73,go_74,go_75,go_76,go_77,go_78,go_79,go_80,go_81,go_82,go_83,go_84,go_85,go_86,go_87,go_88,go_89,go_90,go_91,go_92,go_93,go_94,go_95,go_96,go_97,go_98,go_99,go_100,java_0,java_1,java_2,java_3,java_4,java_5,java_6,java_7,java_8,java_9,java_10,java_11,java_12,java_13,java_14,java_15,java_16,java_17,java_18,java_19,java_20,java_21,java_22,java_23,java_24,java_25,java_26,java_27,java_28,java_29,java_30,java_31,java_32,java_33,java_34,java_35,java_36,java_37,java_38,java_39,java_40,java_41,java_42,java_43,java_44,java_45,java_46,java_47,java_48,java_49,java_50,java_51,java_52,java_53,java_54,java_55,java_56,java_57,java_58,java_59,java_60,java_61,java_62,java_63,java_64,java_65,java_66,java_67,java_68,java_69,java_70,java_71,java_72,java_73,java_74,java_75,java_76,java_77,java_78,java_79,java_80,java_81,java_82,java_83,java_84,java_85,java_86,java_87,java_88,java_89,java_90,java_91,java_92,java_93,java_94,java_95,java_96,java_97,java_98,java_99,java_100
1000,2036.555,2036.797,2037.0639999999999,2037.3229999999999,2037.602,2037.856,2038.111,2038.3629999999998,2038.644,2038.8929999999998,2039.124,2039.386,2039.652,2039.922,2040.1970000000001,2040.375,2040.489,2040.619,2040.7420000000002,2040.8829999999998,2041.056,2041.263,2041.521,2041.7620000000002,2042.031,2042.276,2042.545,2042.774,2043.04,2043.2920000000001,2043.539,2043.793,2043.997,2044.134,2044.259,2044.3429999999998,2044.4779999999998,2044.631,2044.8020000000001,2044.871,2044.955,2045.11,2045.25,2045.4660000000001,2045.624,2045.8020000000001,2045.973,2046.0929999999998,2046.205,2046.371,2046.56,2046.675,2046.8270000000002,2046.933,2047.0410000000002,2047.144,2047.2579999999998,2047.435,2047.565,2047.65,2047.757,2047.89,2048.004,2048.229,2048.35,2048.518,2048.75,2048.877,2048.976,2049.05,2049.163,2049.264,2049.337,2049.439,2049.533,2049.611,2049.706,2049.84,2049.949,2050.022,2050.13,2050.462,2050.759,2051.072,2051.322,2051.571,2051.83,2052.041,2052.119,2052.261,2052.382,2052.6220000000003,2052.723,2052.8089999999997,2052.901,2053.126,2053.278,2053.389,2053.6679999999997,2054.107,2056.673,55.50899999999999,60.026,61.218,61.637,62.068000000000005,62.597,63.015,63.648,64.077,64.301,64.874,65.053,65.271,65.435,65.59899999999999,65.959,66.111,66.329,66.607,66.866,66.988,67.11399999999999,67.294,67.524,67.788,67.952,68.111,68.35,68.548,68.745,68.86399999999999,69.053,69.175,69.321,69.476,69.598,69.747,69.839,70.085,70.193,70.311,70.402,70.492,70.7,70.92399999999999,71.097,71.223,71.39,71.551,71.654,71.851,72.059,72.203,72.455,72.536,72.7,72.818,72.95100000000001,73.148,73.375,73.532,73.688,73.877,74.197,74.28399999999999,74.473,74.658,74.775,74.873,75.051,75.196,75.453,75.619,75.811,76.1,76.33800000000001,76.485,76.666,76.87100000000001,77.101,77.44,77.76100000000001,78.008,78.275,78.67399999999999,78.793,79.036,79.291,79.582,79.73,79.91,80.214,80.507,80.822,81.07600000000001,81.742,82.16,83.334,84.583,87.29899999999999,99.625
2000,2064.131,2064.614,2065.206,2065.655,2066.1279999999997,2066.6,2067.143,2067.617,2068.1620000000003,2068.647,2069.166,2069.665,2070.145,2070.688,2071.165,2071.613,2072.117,2072.605,2073.12,2073.606,2074.105,2074.415,2074.683,2074.886,2075.151,2075.408,2075.659,2075.8379999999997,2076.117,2076.466,2076.865,2077.333,2077.7960000000003,2078.252,2078.769,2079.365,2079.908,2080.391,2080.905,2081.3920000000003,2081.893,2082.384,2082.864,2083.31,2083.752,2084.2889999999998,2084.765,2085.27,2085.5429999999997,2085.709,2086.1710000000003,2086.595,2086.911,2087.197,2087.366,2087.492,2087.627,2087.77,2088.012,2088.295,2088.4320000000002,2088.607,2088.771,2088.91,2089.064,2089.192,2089.322,2089.395,2089.49,2089.595,2089.716,2089.8379999999997,2090.27,2090.551,2090.77,2091.104,2091.48,2091.7729999999997,2092.097,2092.361,2092.739,2093.022,2093.239,2093.72,2094.238,2094.981,2095.659,2096.269,2096.528,2096.734,2096.866,2097.23,2097.4,2097.565,2097.937,2098.304,2098.757,2099.599,2101.395,2102.053,2110.315,114.829,118.509,120.256,121.23700000000001,122.78,124.02,125.307,126.454,128.269,129.064,130.141,131.154,132.724,133.874,134.79,135.834,136.39600000000002,137.124,137.822,138.30200000000002,138.8,139.389,140.05100000000002,140.733,141.372,141.708,142.203,142.611,143.166,143.786,144.153,144.555,144.98,145.461,146.055,146.585,147.289,147.856,148.405,148.78,149.273,149.653,150.15,150.639,150.993,151.637,152.319,153.219,154.05100000000002,154.936,155.778,156.457,156.855,157.23,157.7,158.222,158.843,159.437,159.985,160.58700000000002,161.126,161.644,162.149,162.645,163.019,163.378,163.621,164.28799999999998,164.86,165.479,166.0,166.532,166.831,167.296,167.642,167.99900000000002,168.547,168.998,169.368,169.75799999999998,170.201,170.642,171.049,171.395,171.793,172.15400000000002,172.515,173.03,173.44099999999997,173.80700000000002,174.183,174.55599999999998,175.275,176.37099999999998,177.192,178.08,179.044,180.47400000000002,181.847,186.993,217.924
3000,2094.484,2095.525,2096.34,2097.262,2098.119,2098.738,2099.2889999999998,2099.86,2100.746,2101.577,2102.502,2103.35,2104.19,2104.989,2105.848,2106.705,2107.669,2108.739,2109.937,2110.619,2111.228,2112.169,2112.915,2114.0660000000003,2115.212,2116.2529999999997,2117.165,2118.259,2119.491,2120.016,2120.402,2120.817,2121.219,2121.605,2121.9410000000003,2122.311,2122.629,2122.844,2123.383,2124.021,2124.745,2125.269,2125.926,2126.649,2127.33,2128.0,2128.7070000000003,2129.3979999999997,2130.0570000000002,2130.769,2131.382,2131.761,2132.01,2132.297,2132.574,2132.819,2133.1020000000003,2133.384,2133.609,2133.8379999999997,2134.049,2134.327,2134.555,2134.6910000000003,2134.865,2135.051,2135.248,2135.416,2135.53,2135.675,2135.797,2135.975,2136.198,2136.373,2136.6020000000003,2136.7960000000003,2137.025,2137.225,2137.577,2137.808,2138.0660000000003,2138.261,2138.431,2138.782,2139.005,2139.322,2139.563,2139.883,2140.188,2140.615,2141.041,2141.334,2142.096,2143.145,2144.216,2144.777,2145.621,2146.409,2148.756,2149.942,2153.056,152.252,156.569,158.024,159.30700000000002,160.268,161.17,162.975,164.467,167.33700000000002,170.34599999999998,172.293,173.78900000000002,185.456,190.847,193.55700000000002,195.304,196.842,198.31099999999998,199.545,200.82299999999998,202.40599999999998,203.826,205.00099999999998,206.407,206.856,207.37599999999998,207.963,208.385,208.99200000000002,209.608,210.044,210.418,210.787,211.35299999999998,211.86599999999999,212.487,212.965,213.424,213.987,214.576,215.04,215.59400000000002,216.239,216.708,217.28599999999997,217.96200000000002,218.668,219.255,220.132,220.798,221.533,222.36900000000003,223.234,224.09599999999998,224.828,225.55,226.419,227.053,227.855,228.67,229.479,230.17700000000002,230.727,231.39,232.021,232.769,233.15599999999998,233.549,234.153,234.722,235.267,235.69400000000002,236.14700000000002,236.764,237.477,237.892,238.50099999999998,238.90599999999998,239.593,240.403,241.132,241.692,242.46900000000002,243.61900000000003,244.66400000000002,246.21900000000002,247.558,249.24900000000002,251.467,254.335,257.76099999999997,260.985,266.749,270.002,273.27,275.747,278.41700000000003,281.732,287.382,295.719,316.624
4000,2126.292,2127.574,2128.714,2129.991,2131.265,2132.58,2133.5170000000003,2134.745,2135.953,2137.1839999999997,2138.524,2139.723,2140.7929999999997,2141.383,2142.008,2142.636,2143.297,2144.32,2145.449,2146.639,2147.538,2148.049,2148.594,2149.232,2149.712,2150.346,2150.786,2151.048,2151.4339999999997,2151.907,2152.4610000000002,2152.851,2153.313,2154.021,2154.5570000000002,2155.353,2156.011,2156.7729999999997,2157.558,2158.346,2158.991,2159.8,2160.304,2160.619,2160.909,2161.181,2161.397,2161.723,2162.283,2162.721,2163.113,2163.5429999999997,2163.979,2164.32,2164.618,2164.947,2165.236,2165.726,2166.274,2166.779,2167.2960000000003,2167.896,2169.388,2170.8979999999997,2172.259,2173.6420000000003,2175.0660000000003,2175.946,2176.438,2176.897,2177.406,2178.062,2178.371,2178.644,2178.956,2179.208,2179.492,2179.736,2179.973,2180.63,2181.188,2182.121,2183.001,2183.751,2185.424,2187.251,2188.3779999999997,2188.947,2189.208,2189.701,2190.331,2190.889,2191.541,2191.975,2192.395,2193.1079999999997,2193.827,2194.554,2195.109,2196.1679999999997,2198.5789999999997,0.436,4.506,5.332000000000001,5.92,6.602,7.481,276.95799999999997,279.217,282.58099999999996,285.344,288.416,290.879,292.848,294.33099999999996,295.42400000000004,296.474,297.237,297.922,298.991,299.85900000000004,300.91,301.707,302.565,303.138,303.788,304.34,304.95099999999996,305.622,306.308,306.96,307.539,308.11,308.628,309.25,309.808,310.363,310.68,311.31,311.84,312.325,312.776,313.286,313.675,314.119,314.597,315.11,315.561,315.965,316.407,316.827,317.154,317.432,317.681,317.923,318.328,318.66700000000003,319.029,319.393,319.683,320.07,320.376,320.77099999999996,321.133,321.558,322.06,322.546,323.204,324.17900000000003,325.276,326.191,327.103,328.231,329.79400000000004,331.445,332.962,334.32199999999995,335.9,337.27099999999996,338.931,340.221,341.73,342.99199999999996,344.51099999999997,346.11800000000005,347.844,349.57800000000003,351.722,353.619,355.898,357.736,359.898,362.75,365.395,367.827,370.846,374.92199999999997,379.465,387.31199999999995,400.905,1006.065,1008.439
5000,2153.828,2155.625,2157.426,2159.26,2161.109,2162.927,2164.76,2166.614,2168.294,2170.078,2171.924,2173.8520000000003,2175.449,2177.004,2178.593,2179.442,2180.209,2180.868,2181.774,2182.655,2183.944,2185.176,2186.438,2187.698,2188.159,2188.759,2189.419,2190.249,2190.986,2191.383,2191.907,2192.574,2193.334,2194.173,2195.141,2196.1420000000003,2197.626,2198.4539999999997,2199.206,2199.988,2200.744,2201.601,2202.312,2203.366,2204.513,2206.05,2207.493,2208.939,2210.295,2211.448,2212.688,2214.121,2215.521,2216.578,2217.7,2218.495,2219.721,2221.009,2221.853,2222.2870000000003,2222.885,2223.449,2224.0029999999997,2224.547,2225.087,2225.683,2226.305,2226.951,2227.599,2228.123,2228.692,2229.229,2229.966,2230.404,2230.911,2231.2729999999997,2231.659,2231.996,2232.395,2232.6929999999998,2233.03,2233.451,2233.8520000000003,2234.154,2234.574,2234.859,2235.685,2236.294,2236.854,2237.362,2237.797,2238.1639999999998,2238.57,2239.1620000000003,2239.98,2240.52,2241.056,2242.311,2244.008,2246.1479999999997,2252.641,689.4069999999999,750.222,814.21,865.578,928.627,975.693,1021.785,1069.373,1122.999,1200.933,1258.371,1316.5179999999998,1374.705,1434.2320000000002,1494.297,1552.533,1612.2120000000002,1666.836,1726.7160000000001,1773.4720000000002,1825.4779999999998,1876.165,1935.976,2004.444,2049.782,2107.6910000000003,2172.298,2223.731,2277.337,2334.185,2394.449,2456.78,2517.927,2570.661,2626.369,2688.8959999999997,2736.8959999999997,2797.527,2870.469,2936.586,2996.031,3064.014,3116.989,3158.085,3228.33,3286.103,3364.687,3424.656,3489.586,3552.13,3613.317,3666.002,3718.24,3767.178,3816.217,3874.68,3905.708,3935.36,3960.329,3983.185,4007.7129999999997,4036.147,4119.678,4165.24,4225.549,4282.8820000000005,4335.031,4381.414000000001,4443.284000000001,4499.49,4563.482,4622.284000000001,4659.963,4708.015,4748.972,4814.5509999999995,4892.913,4953.647,5003.420999999999,5016.108,5018.21,5020.35,5022.302,5024.277,5026.6320000000005,5027.477,5029.014,5031.29,5034.407999999999,5046.323,5049.561,5209.304,5213.317,5219.383,5224.444,5229.277,5231.853,5422.3369999999995,5431.111,5437.109,5892.52
6000,2173.631,2179.423,2180.969,2182.803,2184.6420000000003,2187.03,2188.851,2190.103,2191.656,2192.444,2193.326,2194.375,2195.447,2197.087,2198.605,2200.259,2201.842,2203.427,2204.9539999999997,2206.4970000000003,2208.097,2209.653,2210.929,2212.46,2214.022,2215.6279999999997,2217.159,2218.725,2220.264,2221.0589999999997,2222.021,2223.114,2224.201,2225.098,2226.696,2228.6639999999998,2229.922,2231.51,2232.9320000000002,2234.337,2235.752,2237.121,2238.399,2239.381,2240.481,2241.302,2241.837,2242.361,2243.035,2243.59,2244.1679999999997,2244.6910000000003,2245.21,2245.735,2246.192,2246.614,2246.99,2247.381,2247.74,2248.178,2248.431,2248.725,2248.984,2249.243,2249.54,2249.7670000000003,2250.093,2250.3579999999997,2250.59,2250.84,2251.116,2251.415,2251.6910000000003,2251.964,2252.302,2252.6279999999997,2252.928,2253.369,2253.92,2254.4320000000002,2254.928,2256.138,2256.783,2257.605,2259.169,2260.464,2261.708,2262.558,2263.155,2263.75,2264.505,2265.121,2265.802,2266.618,2267.644,2268.723,2269.7039999999997,2270.468,2272.005,2273.6,2277.075,1116.76,2198.665,3192.57,3195.8779999999997,3198.045,3199.725,3201.264,3202.7790000000005,3204.153,3205.3309999999997,3206.4440000000004,3207.6929999999998,3209.066,3210.047,3210.772,3211.928,3213.175,3215.1079999999997,3216.717,3228.46,3352.921,3464.78,3570.9240000000004,3718.862,4203.488,4270.219,4346.413,4463.7429999999995,4558.157,4658.925,6219.946999999999,6275.904,6346.8730000000005,6441.231,6537.088000000001,6623.558000000001,6842.156,8548.901,8695.485999999999,8851.31,9024.223,9171.386999999999,9320.35,9469.759,9618.646999999999,9767.39,9920.567,10070.796,10217.939,10365.289,10512.877,10659.67,10806.235,10954.957,11099.113000000001,11244.944,11256.722,11257.425,11257.997,11258.543,11258.835,11259.02,11259.503999999999,11259.793,11260.104,11260.461000000001,11260.721000000001,11260.971000000001,11261.284,11261.553999999998,11262.178,11263.125,11263.537,11263.678999999998,11263.763,11263.962,11264.044,11264.192,11264.323,11264.398000000001,11264.53,11264.662,11264.723999999998,11264.863000000001,11265.193000000001,11265.282,11265.395,11265.708999999999,11265.794,11266.028999999999,11266.255,11266.465,11271.626,11278.128,11284.205,11293.991000000002,11302.051000000001,11316.213,11331.388,11346.131000000001,11352.573
7000,2214.741,2216.7129999999997,2218.681,2220.521,2221.609,2223.3160000000003,2225.33,2227.298,2229.356,2230.768,2232.278,2233.772,2235.238,2236.798,2238.746,2241.021,2243.262,2245.314,2246.3920000000003,2247.567,2248.6679999999997,2249.902,2251.94,2254.17,2256.2270000000003,2258.353,2260.386,2262.375,2264.532,2266.675,2267.616,2268.181,2268.939,2269.756,2270.562,2271.1710000000003,2271.7870000000003,2272.353,2273.177,2274.725,2275.68,2276.328,2276.913,2277.455,2278.032,2278.658,2279.154,2279.63,2280.1220000000003,2280.808,2282.048,2283.228,2284.145,2284.797,2285.471,2286.094,2286.6710000000003,2287.341,2287.886,2288.355,2288.859,2289.19,2289.748,2290.261,2291.112,2291.658,2292.156,2292.869,2293.4120000000003,2293.833,2294.82,2295.464,2296.245,2296.905,2298.26,2299.123,2299.956,2300.689,2301.938,2302.897,2303.624,2304.8920000000003,2306.0,2306.762,2308.0460000000003,2309.246,2310.099,2311.703,2312.791,2313.5570000000002,2315.071,2315.672,2316.817,2317.946,2318.856,2320.061,2321.24,2322.32,2322.949,2323.7039999999997,2327.1910000000003,3.391,5.232,5.6,5.952999999999999,6.36,6.667000000000001,7.047999999999999,7.416,7.792000000000001,8.045,8.555,9.147,9.641,10.073,10.479000000000001,10.835,11.168,11.449000000000002,11.807,12.157,12.492,12.709000000000001,12.985,13.202,13.495,13.747,14.026,14.333,14.610999999999999,15.012,15.452,15.738,16.022000000000002,16.309,16.636,16.93,17.304000000000002,17.637999999999998,18.099,18.577,19.343,20.265,20.848000000000003,22.363000000000003,1021.092,1036.99,1912.953,2007.9879999999998,2184.746,2355.406,2535.817,2717.1240000000003,2880.5690000000004,3004.636,3013.5370000000003,3020.551,3021.748,3023.995,3024.914,3027.853,3028.3979999999997,3029.002,3029.506,3029.994,3030.4320000000002,3030.965,3031.5490000000004,3032.164,3032.732,3033.322,3034.3320000000003,3035.829,3037.615,3040.158,3044.03,3046.6929999999998,3048.994,3050.15,3051.172,3052.3179999999998,3053.2059999999997,3054.1679999999997,3055.022,3055.514,3056.26,3057.035,3057.7070000000003,3058.1459999999997,3058.653,3059.225,3059.812,3060.65,3061.288,3061.6859999999997,3062.297,3063.367,3064.627,3066.1290000000004,3068.265,3071.76,3096.947
8000,2241.944,2244.394,2247.0029999999997,2249.756,2252.189,2255.192,2257.825,2260.482,2262.159,2263.361,2264.785,2266.996,2269.52,2272.0679999999998,2274.486,2276.6910000000003,2279.12,2281.5389999999998,2283.84,2286.231,2288.739,2290.049,2291.186,2292.426,2293.584,2295.495,2297.7889999999998,2299.822,2301.34,2302.666,2304.031,2304.6620000000003,2305.264,2305.864,2306.654,2307.39,2308.0570000000002,2308.729,2309.4320000000002,2309.866,2310.577,2311.981,2312.655,2313.283,2313.882,2314.66,2315.311,2315.834,2316.563,2317.2729999999997,2318.549,2319.874,2321.3979999999997,2322.311,2323.118,2323.884,2324.592,2325.2929999999997,2326.3720000000003,2327.0589999999997,2327.672,2328.241,2328.672,2329.104,2329.732,2330.343,2331.472,2333.132,2333.965,2334.601,2335.4339999999997,2336.173,2337.64,2339.2929999999997,2340.909,2341.749,2342.629,2343.697,2344.9429999999998,2346.2110000000002,2347.15,2348.146,2349.676,2351.3779999999997,2352.117,2352.84,2353.632,2354.931,2355.841,2357.181,2358.493,2359.8979999999997,2360.371,2361.074,2361.56,2361.981,2362.549,2363.302,2364.1910000000003,2365.471,2374.407,4.571000000000001,6.029,23.371,70.194,74.505,90.36200000000001,159.273,162.077,175.222,179.18099999999998,192.08599999999998,198.578,203.13,205.722,208.834,212.071,215.391,229.857,231.59799999999998,232.87,237.155,1107.433,1248.524,2683.072,2683.802,2684.328,2684.7309999999998,2685.5890000000004,2686.165,2686.8259999999996,2687.625,2688.3379999999997,2688.982,2689.797,2690.48,2691.4959999999996,2692.1940000000004,2692.678,2693.425,2694.238,2694.8720000000003,2695.485,2696.097,2696.657,2697.347,2697.8759999999997,2698.487,2699.1479999999997,2699.792,2700.493,2701.112,2701.867,2702.6929999999998,2703.437,2704.393,2705.2790000000005,2706.3740000000003,2707.402,2708.798,2710.803,2713.7059999999997,2717.1059999999998,2722.788,2732.252,2760.612,2768.8109999999997,2774.651,2780.45,2787.426,3007.232,3054.4629999999997,3058.7259999999997,3065.0559999999996,3089.177,3126.258,3136.113,3183.6020000000003,3187.8790000000004,3191.705,3196.631,3199.677,3203.462,3223.776,3227.3709999999996,3229.458,3234.705,3237.61,3242.743,3247.14,3250.5,3255.298,3260.487,3265.199,3293.8520000000003,3379.4970000000003,3385.308,3392.881,3394.7259999999997,3403.7340000000004,3538.73,3545.3990000000003
9000,2266.099,2269.206,2271.953,2274.67,2277.489,2280.321,2283.383,2286.1710000000003,2289.165,2291.855,2294.88,2298.165,2301.27,2304.2270000000003,2307.067,2309.9410000000003,2312.0860000000002,2313.592,2315.098,2316.241,2317.593,2319.279,2321.411,2323.5029999999997,2325.903,2328.278,2330.605,2333.019,2335.404,2337.5370000000003,2339.953,2342.35,2344.7960000000003,2347.004,2348.298,2349.473,2350.65,2351.724,2352.8979999999997,2353.862,2355.163,2356.152,2357.716,2359.0460000000003,2360.453,2361.952,2362.982,2363.876,2364.572,2365.132,2365.7889999999998,2366.291,2366.873,2367.343,2367.746,2368.221,2368.746,2369.225,2369.7870000000003,2370.422,2371.007,2371.681,2372.299,2372.913,2373.739,2374.803,2375.938,2377.526,2378.732,2379.744,2380.782,2381.5229999999997,2382.435,2383.109,2383.897,2384.533,2385.1620000000003,2386.001,2387.14,2388.4539999999997,2389.563,2390.298,2390.971,2392.173,2393.069,2393.812,2394.633,2395.452,2396.101,2396.748,2397.718,2398.324,2399.0170000000003,2399.967,2400.761,2401.64,2402.844,2403.769,2404.621,2408.002,2429.715,2788.545,2891.8559999999998,2989.8909999999996,3083.8070000000002,3193.355,3303.349,3401.711,3479.2129999999997,3532.065,3596.098,3650.776,3709.594,3766.651,3820.8309999999997,3863.3559999999998,3919.869,3988.6690000000003,4053.764,4117.38,4181.304,4237.745,4298.145,4343.561,4399.626,4443.052,4477.616,4533.858,4588.944,4622.536,4658.7390000000005,4692.372,4732.254,4778.077,4827.409000000001,4866.455,4919.265,4982.39,5000.474,5002.822,5025.5740000000005,5086.609,5147.947,5212.518,5269.0380000000005,5321.523,5375.584,5423.991999999999,5459.934,5498.522,5565.349,5619.504,5654.472,5702.217,5756.536999999999,5820.297,5876.454000000001,5973.507,6012.606,6029.559,6110.311,6200.1359999999995,6288.772,6410.733,6487.959,6537.569,6601.891,6673.210999999999,6733.142,6801.717,6866.75,6924.536,7010.06,7153.54,7289.63,7353.026999999999,7425.153,7475.565,7521.109,7664.7,8041.147,10924.952,11054.452,11105.025,11106.524,11107.978000000001,11110.233999999999,11110.582,11111.113000000001,11112.419,11113.037,11117.708,11122.18,11224.17,11280.233999999999,11466.293,11474.268999999998,11480.428,11946.089,11962.751,12856.908000000001,12873.559
10000,2282.904,2286.0460000000003,2288.9629999999997,2292.26,2294.5370000000003,2297.159,2300.04,2303.639,2306.649,2309.492,2312.243,2315.064,2317.738,2320.4320000000002,2323.173,2325.91,2328.609,2331.39,2334.202,2337.096,2339.761,2342.464,2345.1420000000003,2347.797,2350.604,2353.349,2356.01,2361.3289999999997,2365.549,2368.021,2369.7670000000003,2371.065,2372.935,2374.7470000000003,2376.249,2377.445,2379.356,2382.6620000000003,2386.03,2388.942,2391.905,2395.119,2398.075,2401.093,2403.769,2406.221,2407.254,2408.263,2409.002,2409.929,2410.863,2411.813,2412.7529999999997,2413.815,2414.775,2415.7129999999997,2416.799,2417.841,2418.752,2419.8520000000003,2421.512,2423.292,2423.96,2424.95,2425.9,2426.73,2427.725,2428.675,2429.697,2430.68,2431.139,2431.651,2432.254,2432.812,2433.452,2434.096,2434.797,2435.299,2435.862,2436.357,2436.896,2437.505,2438.147,2438.595,2438.965,2439.386,2439.8520000000003,2440.415,2441.166,2441.907,2442.9570000000003,2444.243,2445.575,2447.525,2448.696,2449.601,2450.771,2453.124,2454.24,2455.67,2459.51,4.052,18.857,26.098000000000003,33.05,313.976,316.992,329.584,1027.049,1048.264,1231.412,1317.244,1329.908,1331.4620000000002,1333.29,1335.156,1337.6029999999998,1339.892,1341.8,1343.088,1344.494,1346.424,1348.9579999999999,1350.818,1352.432,1354.39,1356.3220000000001,1357.547,1358.274,1359.9129999999998,1363.003,1365.996,1368.858,1373.164,1377.015,1382.2379999999998,1389.175,1397.8670000000002,1407.501,1444.0020000000002,1591.055,2241.919,2272.085,2307.9,2354.3,2392.19,2492.618,2635.93,2895.657,3419.465,3427.41,4258.965,4407.402,4508.1320000000005,4589.291,4602.395,5000.2,5200.4490000000005,6033.42,7463.791,8413.395,8614.36,8794.23,9151.683,10815.85,10817.961000000001,10820.126,10821.188999999998,10821.543,10821.608999999999,10822.238000000001,10822.895,10825.29,10826.82,10827.228000000001,10827.455,10827.917,10828.346000000001,10828.615,10828.83,10828.923,10829.018,10829.136,10829.205,10829.283000000001,10829.327,10829.395,10829.466,10829.534,10829.646,10829.753,10829.841999999999,10830.697,10832.427,10833.598,10834.816,10835.403999999999,10835.968,10836.886999999999,10837.871000000001,10838.936000000002,11195.138
